id,sumodb_id,nsk_id,ring_name,current_rank,height,weight,total_wins,total_losses,total_matches,rank_group,age,win_rate,debut_year,tenure,ichimon
6750,7648,0,Miurayama Kazuhisa,Retired,177.0,113.0,6,8,14,4,56,42.86,1984,1,Unaffilliated
6482,5051,0,Kyokueiko,Retired,184.0,125.5,148,125,273,4,58,54.21,1982,6,Isegahama
1082,7466,0,Kiyoseiwa Yoshiharu#,Retired,172.3,105.0,117,124,241,4,61,48.55,1979,6,Isegahama
3368,861,0,Kasuganami Tadahito,Retired,172.0,147.0,377,418,795,4,42,47.42,1998,19,Unaffilliated
8362,11367,0,Sato,Retired,0.0,0.0,24,39,63,4,81,38.1,1960,2,Tokisuzake
3981,710,0,Shoryu Isamu,Retired,182.0,136.0,119,133,252,4,46,47.22,1997,6,Nishonoseki
5460,2745,0,Sajima Ryoichi,Retired,0.0,0.0,0,2,2,4,46,0.0,1997,0,Nishonoseki
647,12068,0,Mifuneyama Daichi,Retired,171.0,152.5,175,132,307,4,33,57.0,2013,9,Dewanoumi
2595,5857,0,Nosaka Minoru#,Retired,175.0,96.5,98,89,187,4,78,52.41,1965,5,Dewanoumi
8707,11216,0,Kashiwanada,Retired,0.0,0.0,13,19,32,4,0,40.62,1959,1,Unaffilliated
1628,7989,0,Fujiasahi,Retired,173.0,75.0,49,55,104,4,63,47.12,1976,2,Takasago
2540,5223,0,Beppu Yutaka#,Retired,185.0,85.0,65,39,104,4,77,62.5,1963,5,Dewanoumi
4856,7591,0,Mikami,Retired,174.2,71.0,91,110,201,4,60,45.27,1980,5,Dewanoumi
1964,8311,0,Matsuyama,Retired,175.0,119.0,17,25,42,4,68,40.48,1974,1,Tokisuzake
1023,4112,0,Kotokaze Koki,Retired,183.0,155.0,561,352,913,4,67,61.45,1971,14,Nishonoseki
6900,5528,0,Tochinoiwa Tokio,Retired,0.0,0.0,149,116,265,4,83,56.23,1957,7,Dewanoumi
5586,1449,0,Nakano Shinji#,Retired,188.3,151.3,224,193,417,4,61,53.72,1981,11,Nishonoseki
4951,899,0,Kodozan Michihiro,Retired,173.0,100.0,24,18,42,4,42,57.14,1999,1,Takasago
