id,total_wins,total_losses,total_matches
83,160,110,270
556,157,222,379
472,596,599,1195
482,251,284,535
476,71,69,140
447,95,116,211
377,481,429,910
135,112,67,179
316,92,83,175
353,560,549,1109
8846,26,30,56
8847,25,31,56
8848,29,26,55
8849,9,12,21
8850,25,30,55
8851,26,30,56
8852,12,10,22
8853,25,31,56
8854,23,33,56
8855,31,25,56
8856,35,21,56
8857,30,19,49
8858,36,20,56
8859,32,24,56
8860,16,38,54
8861,22,30,52
8862,36,20,56
8863,31,25,56
8864,22,34,56
8866,13,19,32
8867,13,8,21
8868,9,12,21
8869,17,39,56
8870,31,25,56
8871,10,19,29
8872,2,5,7
8873,33,23,56
8874,24,29,53
8875,5,9,14
8876,11,10,21
8877,39,17,56
8878,32,10,42
8879,71,26,97
8880,34,15,49
8881,10,4,14
8882,19,27,46
8883,18,31,49
8884,32,3,35
8885,22,13,35
8886,0,0,0
8887,33,11,44
8888,24,4,28
8889,21,7,28
8890,14,14,28
8891,11,17,28
8893,19,2,21
8894,16,5,21
8895,14,7,21
8896,13,8,21
8897,12,9,21
8898,10,11,21
8899,9,12,21
8900,6,8,14
8901,9,12,21
8902,8,8,16
8903,8,5,13
8904,0,0,0
8905,11,3,14
8906,9,5,14
8907,9,5,14
8908,11,3,14
8909,8,6,14
8910,10,4,14
8911,9,5,14
8912,6,8,14
8913,8,6,14
8914,8,6,14
8915,11,3,14
8916,9,5,14
8917,10,4,14
8918,5,9,14
8919,4,10,14
8920,5,8,13
8921,10,4,14
8922,7,7,14
8923,5,10,15
8924,6,8,14
8925,6,8,14
8926,7,7,14
8927,2,6,8
8928,0,14,14
8929,6,8,14
8930,5,9,14
8931,5,2,7
8932,7,0,7
8933,7,2,9
8934,0,0,0
8935,3,4,7
8936,7,0,7
8937,4,3,7
8938,4,3,7
8939,4,3,7
8940,2,5,7
8941,2,5,7
8942,0,0,0
8943,0,0,0
